id,title,price,currency,brand,url,image,rating,in_stock,source,country,scraped_at,processor,gpu,ram_gb,storage,screen_size
fa5b63e5,ASUS ExpertBook P1 P1503CVA-S70687X,,EUR,ASUS,https://www.ldlc.com/fiche/PB00661896.html,https://media.ldlc.com/r150/ld/products/00/06/20/36/LD0006203695.jpg,,True,ldlc,France,2025-12-29T00:47:44.839750,,,,,
a4894dc1,ASUS ExpertBook P1 P1503CVA-S70688X,,EUR,ASUS,https://www.ldlc.com/fiche/PB00666450.html,https://media.ldlc.com/r150/ld/products/00/06/20/36/LD0006203695_0006211389.jpg,,True,ldlc,France,2025-12-29T00:47:44.841751,,,,,
ffaafe9e,ASUS ExpertBook P1 P1503CVA-S70854X,,EUR,ASUS,https://www.ldlc.com/fiche/PB00662411.html,https://media.ldlc.com/r150/ld/products/00/06/20/36/LD0006203695_0006204885.jpg,,True,ldlc,France,2025-12-29T00:47:44.842746,,,,,
60e8b42c,ASUS ExpertBook P1 PM1503CDA-S70011X,,EUR,ASUS,https://www.ldlc.com/fiche/PB00715587.html,https://media.ldlc.com/r150/ld/products/00/06/30/02/LD0006300222.jpg,,True,ldlc,France,2025-12-29T00:47:44.843756,,,,,
a323dc3e,ASUS ExpertBook P3 P3405CVA-LY0040X,,EUR,ASUS,https://www.ldlc.com/fiche/PB00683705.html,https://media.ldlc.com/r150/ld/products/00/06/24/26/LD0006242617.jpg,,True,ldlc,France,2025-12-29T00:47:44.844750,,,,,
3df8f2e3,ASUS ExpertBook P3 P3405CVA-LY0041X,,EUR,ASUS,https://www.ldlc.com/fiche/PB00683707.html,https://media.ldlc.com/r150/ld/products/00/06/24/26/LD0006242617_0006242687.jpg,,True,ldlc,France,2025-12-29T00:47:44.845750,,,,,
a39f38b0,ASUS ExpertBook P3 P3405CVA-LY0258X,,EUR,ASUS,https://www.ldlc.com/fiche/PB00691201.html,https://media.ldlc.com/r150/ld/products/00/06/24/26/LD0006242617_0006242687_0006255686.jpg,,True,ldlc,France,2025-12-29T00:47:44.846755,,,,,
1e75c009,ASUS ExpertBook P3 P3605CVA-MB0017X,,EUR,ASUS,https://www.ldlc.com/fiche/PB00683708.html,https://media.ldlc.com/r150/ld/products/00/06/24/26/LD0006242697.jpg,,True,ldlc,France,2025-12-29T00:47:44.848751,,,,,
cf8412e1,ASUS ExpertBook P3 P3605CVA-MB0018X,,EUR,ASUS,https://www.ldlc.com/fiche/PB00683709.html,https://media.ldlc.com/r150/ld/products/00/06/24/26/LD0006242697_0006242702.jpg,,True,ldlc,France,2025-12-29T00:47:44.849765,,,,,
8c9ae9c9,ASUS ExpertBook P3 P3605CVA-MB0168X,,EUR,ASUS,https://www.ldlc.com/fiche/PB00702103.html,https://media.ldlc.com/r150/ld/products/00/06/24/26/LD0006242697_0006242702_0006273456.jpg,,True,ldlc,France,2025-12-29T00:47:44.850755,,,,,
16fa7d58,ASUS ExpertBook P3 PM3406CKA-LY0066X Copilot+ PC,,EUR,ASUS,https://www.ldlc.com/fiche/PB00710545.html,https://media.ldlc.com/r150/ld/products/00/06/28/87/LD0006288748.jpg,,True,ldlc,France,2025-12-29T00:47:44.851756,,,,,
221d6f69,ASUS ExpertBook P3 PM3406CKA-LY0067X Copilot+ PC,,EUR,ASUS,https://www.ldlc.com/fiche/PB00710727.html,https://media.ldlc.com/r150/ld/products/00/06/28/87/LD0006288748_0006288868.jpg,,True,ldlc,France,2025-12-29T00:47:44.852750,,,,,
a7ba5cf0,ASUS ExpertBook P3 PM3406CKA-LY0207X Copilot+ PC,,EUR,ASUS,https://www.ldlc.com/fiche/PB00715386.html,https://media.ldlc.com/r150/ld/products/00/06/30/30/LD0006303066.jpg,,True,ldlc,France,2025-12-29T00:47:44.854752,,,,,
